Date,Close,High,Low,Open,Volume,Returns,Log_Returns
2015-01-02,23721.30078125,23998.900390625,23655.5,23699.19921875,1801700000,,
2015-01-05,23721.3203125,23998.869140625,23655.51953125,23699.189453125,2585200000,8.233633634890936e-07,8.233630245256654e-07
2015-01-06,23485.41015625,23611.0,23312.5,23515.130859375,2618000000,-0.009945068535063273,-0.009994851064591895
2015-01-07,23681.259765625,23715.7109375,23332.029296875,23396.69921875,2181100000,0.008339203278631357,0.008304624231104028
2015-01-08,23835.529296875,23941.640625,23719.05078125,23920.349609375,2011600000,0.0065144140462465305,0.006493286955171642
2015-01-09,23919.94921875,24169.060546875,23859.490234375,24049.69921875,2334800000,0.0035417682915086512,0.0035355110004242577
2015-01-12,24026.4609375,24118.58984375,23905.009765625,24118.58984375,1414600000,0.00445284050463246,0.004442955942409476
2015-01-13,24215.970703125,24254.109375,23908.23046875,23908.23046875,1393200000,0.007887543909107952,0.007856599843263364
2015-01-14,24112.599609375,24326.69921875,24056.220703125,24276.330078125,1463000000,-0.004268715676000512,-0.004277852654140406
2015-01-15,24350.91015625,24369.0,24070.390625,24169.349609375,1754000000,0.009883237425065694,0.009834717660384512
2015-01-16,24103.51953125,24253.08984375,24086.2109375,24196.849609375,1716800000,-0.010159399521931345,-0.010211358435053984
2015-01-19,23738.490234375,24049.55078125,23590.05078125,23971.23046875,2945800000,-0.015144232210642206,-0.015260077172014065
2015-01-20,23951.16015625,23997.310546875,23747.919921875,23798.4609375,1632700000,0.00895886468664453,0.008918972142642699
2015-01-21,24352.580078125,24373.279296875,24016.630859375,24036.41015625,1843500000,0.016759936439665557,0.016621038503611147
2015-01-22,24522.630859375,24589.619140625,24438.98046875,24480.01953125,1679800000,0.006982865088810408,0.006958597791069372
2015-01-23,24850.44921875,24896.220703125,24726.76953125,24807.359375,2375600000,0.013367993069539397,0.01327942985213333
2015-01-26,24909.900390625,24916.490234375,24761.55078125,24907.189453125,1321600000,0.002392358035529618,0.002389500902993213
2015-01-27,24807.279296875,24995.080078125,24672.759765625,24995.080078125,1705100000,-0.004119691052181906,-0.004128200357879251
2015-01-28,24861.810546875,24983.890625,24716.6796875,24799.98046875,1361000000,0.0021981955113823393,0.0021957830144090154
2015-01-29,24595.849609375,24739.220703125,24524.1796875,24645.19921875,1864000000,-0.010697569149219932,-0.010755199513777307
2015-01-30,24507.05078125,24771.369140625,24450.05078125,24771.369140625,1438900000,-0.003610317575334032,-0.003616850500527682
2015-02-02,24484.740234375,24506.810546875,24324.369140625,24347.26953125,1576200000,-0.0009103725729441292,-0.0009107872137257445
2015-02-03,24554.779296875,24602.599609375,24327.509765625,24542.490234375,1552800000,0.0028605189121699848,0.0028564354133767482
