Model,LogLik,AIC,BIC,Persistence
"GARCH(1,1)",-4086.703886420496,8181.407772840992,8204.671828197628,0.985953449811668
GARCH-X,-3733.1864167605254,7488.372833521051,7552.344549373438,0.9769885471630319
