Indicator,Description,Coef,tStat,PValue,R2,DirectionAcc,SampleSize,LjungBox_p,Granger_p
SMA_ratio_20,价格相对20日均线偏离,-0.00859068934789065,-1.0281298353767985,0.30398910192108913,0.0004263923486488297,0.48951612903225805,2480,0.0,0.2249532321020909
RSI_14,相对强弱指标,-7.172547786091785e-06,-0.43981155304906866,0.6601119537398814,7.805452130005275e-05,0.5016129032258064,2480,0.0,0.3926326236089568
MACD_hist,MACD 柱状图,-1.3218594423216555e-06,-0.5019176368846556,0.6157700505020809,0.00010165282715990376,0.48870967741935484,2480,0.0,0.23074920604802152
Bollinger_percent,布林通道百分位,0.0001947885150945397,0.22472425347318187,0.8222123239326422,2.0379322406394174e-05,0.4879032258064516,2480,0.0,0.0612114505471169
SP500_return,S&P500 收益率,0.3231491713471802,13.624319293020495,8.164220280740455e-41,0.06968784267740868,0.597983870967742,2480,6.97552265344268e-38,0.05681874783939477
VIX_return,VIX 变动,-0.04229770715868772,-13.456028376086524,6.891743833536906e-40,0.06809337872874277,0.4217741935483871,2480,0.013661073760905506,0.005096417993668535
