Model,LogLik,AIC,BIC,Persistence
"GJR-GARCH(1,1)",-4405.227747267176,8820.455494534352,8849.921488882075,0.9532393808966649
"EGARCH(1,1)",-4410.850197169018,8829.700394338037,8853.273189816215,1.1203322463132213
"GARCH(1,1)",-4411.651472942256,8831.302945884512,8854.87574136269,0.9852967046733077
