Price,Returns,Returns,Returns,Returns,Returns,Close,Close,Annual_Return
,count,mean,std,min,max,first,last,
Year,,,,,,,,
2015,246,-0.00023728891943691448,0.013032591613449395,-0.05840768214922254,0.041030616756034366,23721.30078125,21914.400390625,-7.6172061864888345
2016,245,8.667924207084177e-05,0.011897539700542371,-0.03848831400967012,0.03267326785452518,21327.119140625,22000.560546875,3.157676392247444
2017,246,0.0012756712099743896,0.007111009348908157,-0.021426490606340387,0.02246147202803095,22150.400390625,29919.150390625,35.0727294450536
2018,246,-0.0005175732758902598,0.012429182897418555,-0.05116419566295949,0.042113220387747896,30515.310546875,25845.69921875,-15.30251943840435
2019,246,0.0004028690356447418,0.01001019657427341,-0.028978907207581672,0.038991958766846135,25130.349609375,28189.75,12.174125860484143
2020,248,-3.145942404130949e-05,0.014702172468194717,-0.055596665694663705,0.050482880232477045,28543.51953125,27231.130859375,-4.597851608447135
2021,247,-0.0005339203990764238,0.012663727591389284,-0.04222194184423689,0.03303145907645755,27472.810546875,23397.669921875,-14.833359033459148
2022,246,-0.00047222196905759376,0.020639984636767396,-0.06356313937909253,0.09081795543542825,23274.75,19781.41015625,-15.00914013576945
2023,243,-0.0005132191328276374,0.014098094173875761,-0.030403904967849837,0.04213959546122603,20145.2890625,17047.390625,-15.377781018127301
2024,246,0.0007887272862309729,0.01593711806132936,-0.09406974008054558,0.06198876866790304,16788.55078125,20059.94921875,19.48588940239919
2025,220,0.001167695115371445,0.01572446890466983,-0.1322334712327945,0.039905223569291604,19623.3203125,25220.01953125,28.52065363874694
