Model,Log Likelihood,AIC,BIC,Parameters
"GARCH(1,1)-t",-4410.020975180082,8830.041950360164,8859.507944707888,5
"EGARCH(1,1)",-4477.976218679096,8963.952437358192,8987.52523283637,4
"GARCH(2,1)",-4478.132988499103,8966.265976998206,8995.73197134593,5
"GARCH(1,1)",-4479.151436184775,8966.30287236955,8989.875667847728,4
"GARCH(1,2)",-4479.151436419901,8968.302872839802,8997.768867187526,5
