,lb_stat,lb_pvalue
1,0.27350229140246396,0.6009920228163758
2,0.2925970904753177,0.8638997515248065
3,0.49466191512168606,0.9200625908034292
4,0.4978163724017309,0.9737132067632202
5,0.5216556229038689,0.9913088739707716
6,1.091104644165324,0.9819217105134398
7,1.091121424243985,0.993221722962689
8,1.099110138923585,0.9975413134574138
9,1.2154183993981615,0.9987591033750323
10,1.4559996258779575,0.9990659259220072
11,1.998786573048583,0.9985001413411964
12,5.029056248991126,0.9570014129389707
13,5.036772595333644,0.974374693127046
14,5.066565722275351,0.9848645487387077
15,6.702457981837246,0.965386538989065
16,6.878097835317471,0.9755397180610795
17,7.446477481977525,0.9769971091288155
18,7.921671884599497,0.9797798052557474
19,14.578067605274656,0.749010960967623
20,14.807711914697443,0.7873025844441788
