Series,ADF,p-value,Lags,Obs
HSI,-1.9053811817806667,0.32953388302706665,0,2479
d(HSI),-49.7066898723498,0.0,0,2478
HSCEI,-1.83327215139478,0.3640725383062876,0,2479
d(HSCEI),-49.748195800511525,0.0,0,2478
USDHKD,-2.8946511169048827,0.045973544796379856,8,2471
d(USDHKD),-16.059048207516266,5.665292097130723e-29,7,2471
SP500,0.48332406456515464,0.9843573339228686,15,2464
d(SP500),-13.529892889102234,2.634125452524283e-25,14,2464
