Rank,Trace Statistic,5% Critical,1% Critical
0,37.032769009390115,47.8545,44.4929
1,16.446360953740427,29.7961,27.0669
2,4.783490581514638,15.4943,13.4294
3,0.04519650726386869,3.8415,2.7055
