,lb_stat,lb_pvalue
1,45.04889877685922,1.9217529818989432e-11
2,81.94953008948094,1.602823287847416e-18
3,97.49367173221626,5.374455169121246e-21
4,126.4140335185438,2.2757465640966374e-26
5,138.36506636364507,3.982427372668248e-28
6,151.16127679895112,4.39569773381181e-30
7,168.44130271383023,5.349760164748311e-33
8,182.8304727849958,2.618788253302886e-35
9,188.46959270903756,8.603994877227514e-36
10,196.08777734105857,1.0554771182384613e-36
11,198.14190422599273,1.8067943544395856e-36
12,200.4172629251471,2.674749823887391e-36
13,206.2003899294201,7.26817432096171e-37
14,213.51173710652554,9.427650133840103e-38
15,213.76348763531794,3.3462861021006223e-37
16,218.95647694802864,1.136270733238818e-37
17,221.33675380214765,1.4141460259219744e-37
18,221.53074399892571,4.755068092461637e-37
19,222.9881733553778,8.66681929929038e-37
20,223.6829260127279,2.195861965413576e-36
