Date,Conditional_Volatility
2015-01-05,0.008059327985935248
2015-01-06,0.007922304081658355
2015-01-07,0.008225142048881511
2015-01-08,0.008326354374243826
2015-01-09,0.008319259882811236
2015-01-12,0.008204723959614349
2015-01-13,0.00812396306060327
2015-01-14,0.008206861492957416
2015-01-15,0.008146823684729559
2015-01-16,0.00835998865054635
2015-01-19,0.008631870762181075
2015-01-20,0.009337234689553732
2015-01-21,0.009380110447003799
2015-01-22,0.010065583422204333
2015-01-23,0.00995335603419877
2015-01-26,0.01025112151227151
2015-01-27,0.00999951494858366
2015-01-28,0.009816051150235696
2015-01-29,0.00958634535144733
2015-01-30,0.00977455872201225
2015-02-02,0.009590380144945558
2015-02-03,0.009368122551475736
2015-02-04,0.009174062781769583
2015-02-05,0.009048857071476978
2015-02-06,0.008886274286443696
2015-02-09,0.00875407861188635
2015-02-10,0.00874749105059235
2015-02-11,0.00856799161097606
2015-02-12,0.00871106597504995
2015-02-13,0.008594549744304333
2015-02-16,0.008819970969046385
2015-02-17,0.008643376318498139
2015-02-18,0.008484803499299134
2015-02-23,0.008329869533233196
2015-02-24,0.008175642942411673
2015-02-25,0.008091291152921658
2015-02-26,0.00795391185522905
2015-02-27,0.007910046010373897
2015-03-02,0.007834215786439759
2015-03-03,0.007730922399765384
2015-03-04,0.007869296185202802
2015-03-05,0.008151119876971164
2015-03-06,0.008527662965535638
2015-03-09,0.008371080208588988
2015-03-10,0.008231322283953327
2015-03-11,0.008456130343542196
2015-03-12,0.008533136412436974
2015-03-13,0.008400680106086461
2015-03-16,0.008243719968983865
2015-03-17,0.008190455024862315
2015-03-18,0.00806777489193159
2015-03-19,0.008236333433998353
2015-03-20,0.008844323644937013
2015-03-23,0.008725376462917746
2015-03-24,0.008623492355277798
2015-03-25,0.00852079689615939
2015-03-26,0.00844651756095413
2015-03-27,0.008295814858719252
2015-03-30,0.00814629364423169
2015-03-31,0.008831110903535134
2015-04-01,0.008654479991254271
2015-04-02,0.008660802932069223
2015-04-08,0.008687125318152775
2015-04-09,0.012811292032800917
2015-04-10,0.01413667245588016
2015-04-13,0.014000960028780273
2015-04-14,0.015176093802805912
2015-04-15,0.015264819224127688
2015-04-16,0.014757730940353923
2015-04-17,0.014304065941436763
2015-04-20,0.013864709064565734
2015-04-21,0.014402695262190948
2015-04-22,0.01558733579636465
2015-04-23,0.015073563215792089
2015-04-24,0.014608147436668328
2015-04-27,0.014271084615075874
2015-04-28,0.014188372715146513
2015-04-29,0.013725657753494292
2015-04-30,0.013293682144722423
2015-05-04,0.013113436205431745
2015-05-05,0.012703765396551324
2015-05-06,0.01278211645943119
2015-05-07,0.012440693818733256
2015-05-08,0.012514065938008252
2015-05-11,0.01240366605395518
2015-05-12,0.01208731881359143
2015-05-13,0.012093634319905074
2015-05-14,0.011837136732852289
2015-05-15,0.011492260514425876
2015-05-18,0.0121885050683259
2015-05-19,0.012028484104573346
2015-05-20,0.011701680244710426
2015-05-21,0.011413817518893027
2015-05-22,0.011107859514624705
2015-05-26,0.0115990825230988
2015-05-27,0.011483470802634057
2015-05-28,0.011270828051917158
2015-05-29,0.012383784216512267
2015-06-01,0.01201473852306628
2015-06-02,0.011754910585059418
2015-06-03,0.011485623806905052
2015-06-04,0.011279859874103976
2015-06-05,0.01101307684735966
2015-06-08,0.011066437283844774
2015-06-09,0.010766878691299947
2015-06-10,0.010936190997137765
2015-06-11,0.011035502328494928
2015-06-12,0.01091391073754825
2015-06-15,0.011152578493218516
2015-06-16,0.011556375093495264
2015-06-17,0.011590519632138701
2015-06-18,0.011381955146323806
2015-06-19,0.011077492598901055
2015-06-22,0.010781940115048292
2015-06-23,0.010894686740805515
2015-06-24,0.010836901934631722
2015-06-25,0.010556210316818271
2015-06-26,0.010576534881864027
2015-06-29,0.011282137169359812
2015-06-30,0.01287411890421627
2015-07-02,0.012758064090101955
2015-07-03,0.012366330475386999
2015-07-06,0.012194523512928228
2015-07-07,0.014382164959617328
2015-07-08,0.014175781249020518
2015-07-09,0.02029444554571582
2015-07-10,0.021688211858014533
2015-07-13,0.02152656109168643
2015-07-14,0.020978602656869953
2015-07-15,0.020241468647052417
2015-07-16,0.01951917952561035
2015-07-17,0.018839669634261456
2015-07-20,0.018329206625740807
2015-07-21,0.017677742098322655
2015-07-22,0.01709768754061169
2015-07-23,0.016708398385970016
2015-07-24,0.01616412352963457
2015-07-27,0.01585981227704383
2015-07-28,0.017264637167192096
2015-07-29,0.016726037387573528
2015-07-30,0.01618291312152347
2015-07-31,0.0156858473684927
2015-08-03,0.015211806437826832
2015-08-04,0.014899132026768215
2015-08-05,0.01440370805078435
2015-08-06,0.013968523795465471
2015-08-07,0.013603869823846156
2015-08-10,0.013284809186876039
2015-08-11,0.012872491966084844
2015-08-12,0.01247786446933492
2015-08-13,0.013569827761478836
2015-08-14,0.013174216951048083
2015-08-17,0.012766351022439898
2015-08-18,0.012528294017176207
2015-08-19,0.012705575208590766
2015-08-20,0.012782949399975083
2015-08-21,0.01321690797751724
2015-08-24,0.013407941335518042
2015-08-25,0.01854838219857478
2015-08-26,0.0179700638257197
2015-08-27,0.017779558919609043
2015-08-28,0.019392731433196198
2015-08-31,0.01889189785862641
2015-09-01,0.018223635591339583
2015-09-02,0.01850664227123316
2015-09-04,0.01811472954710827
2015-09-07,0.017516048344743497
2015-09-08,0.01720730323422407
2015-09-09,0.01854137705065094
2015-09-10,0.02065341561906436
2015-09-11,0.020976627923145443
2015-09-14,0.02022273477124806
2015-09-15,0.019495123455494243
2015-09-16,0.018839865675965996
