Model,AIC,BIC,Log Likelihood,Parameters
"ARIMA(2, 0, 3)",-15325.542508076527,-15284.290115989716,7669.771254038264,7
"ARIMA(1,0,0)",-15321.78881829697,-15304.109221688335,7663.894409148485,3
"ARIMA(0,0,1)",-15321.804834210081,-15304.125237601447,7663.9024171050405,3
"ARIMA(1,0,1)",-15320.302557112176,-15296.729761633998,7664.151278556088,4
