Date,Actual_Returns,ARIMA_Forecast,GARCH_Volatility_Forecast
2024-11-14,-0.0195545521668525,0.000752578779989506,0.020019368030421078
2024-11-15,-0.0004872810990906,-0.0006587809639059352,0.019986940427279762
2024-11-18,0.0077353496571483,-4.5373336162496356e-06,0.019954725235016152
2024-11-19,0.0044471718880072,0.00028932438030147015,0.019922721318479907
2024-11-20,0.0021023463023051,0.0004104623685955044,0.01989092754614804
2024-11-21,-0.0052727906182645,-0.00044709879347668534,0.019859342790129682
2024-11-22,-0.0189345748128095,-0.000431670512723407,0.019827965926170907
2024-11-25,-0.0041071549181905,-0.00011486984551187411,0.019796795833659498
2024-11-26,0.0004286454264001,0.000816049079235125,0.019765831395629752
2024-11-27,0.0231706782499838,-0.0005838723794203221,0.01973507149876727
2024-11-28,-0.012047561359927,-0.00012226984941458244,0.01970451503341374
2024-11-29,0.0029250039633379,-0.0002052625605459461,0.0196741608935717
2024-12-02,0.0065219437363195,0.00103550143754241,0.019644007976909295
2024-12-03,0.0100270256553911,-4.3035703821509954e-05,0.01961405518476502
2024-12-04,-0.0001954478069292,-0.000914182823943148,0.01958430142215244
2024-12-05,-0.0092197971140091,-4.570996404950734e-06,0.019554745597764864
2024-12-06,0.0156136653770939,0.0008284638994828569,0.019525386623980016
2024-12-09,0.0275971199397522,0.0005400360141743941,0.0194962234168647
2024-12-10,-0.005036254256835,-0.0008821046053987302,0.019467254896179353
2024-12-11,-0.0076917122423222,-0.0006753867181846792,0.01943847998538265
2024-12-12,0.0120069159153461,0.001722062346378495,0.019409897611636008
2024-12-13,-0.0208760840692923,0.0012919347923363445,0.01938150670580807
2024-12-16,-0.0088001545190715,-0.002172792386993411,0.019353306202479163
2024-12-17,-0.0047995661890714,-0.0004025903044558388,0.019325295039945664
2024-12-18,0.0083282391391548,0.0015346354694818454,0.019297472160224344
2024-12-19,-0.0056402491482845,0.00023994966118377894,0.019269836509056674
2024-12-20,-0.001610455949773,-0.0013949594668217487,0.019242387035913015
2024-12-23,0.0082366065636538,-9.02533224783584e-05,0.01921512269399683
2024-12-24,0.010821143040637,0.0010614175199612757,0.019188042440248763
2024-12-27,-0.0003894921092864,5.9974584326058905e-05,0.019161145235350688
2024-12-30,-0.002441009978694,-0.0013307392887076353,0.019134430043729694
2024-12-31,0.0009245501040959,0.0002603031440268894,0.01910789583356198
2025-01-02,-0.0217662019723302,0.0007741772557556827,0.019081541576776686
2025-01-03,0.0069789014585244,-0.00045203916503473073,0.019055366249059676
2025-01-06,-0.0036426865856341,-0.00021660915147023678,0.019029368829857188
2025-01-07,-0.0122259980849973,-0.0004416830241020259,0.01900354830237946
2025-01-08,-0.0086252497072207,0.00020980708249883004,0.018977903653604244
2025-01-09,-0.0020202044760566,0.0005238802777976027,0.018952433874280236
2025-01-10,-0.0091784505167623,-0.0002942973299493427,0.01892713795893043
2025-01-13,-0.0099740639095756,-0.000542513786159036,0.0189020149058554
2025-01-14,0.0183128163947861,0.00024098636721006997,0.018877063717136433
2025-01-15,0.0034491038945374,0.000717756690671267,0.018852283398638637
2025-01-16,0.0122793450745903,-0.0009392192714526096,0.018827672960013916
2025-01-17,0.0031332410271596,4.319249391210551e-05,0.018803231414703855
2025-01-20,0.0174504158206625,0.00043788757451424415,0.018778957779942516
2025-01-21,0.0090706590805835,0.0006617372090521028,0.01875485107675911
2025-01-22,-0.0163022118296722,-0.00017531062420739516,0.0187309103299806
2025-01-23,-0.0039541885682742,-0.00031667290286388277,0.01870713456823416
2025-01-24,0.0185593148672105,0.00078751402596675,0.01868352282394959
2025-01-27,0.0065573026922911,0.0005139438792430402,0.018660074133361525
2025-01-28,0.0013536070756574,-0.00157980188315702,0.018636787536511646
2025-02-03,-0.0003881120853024,0.00024488163577474406,0.01861366207725068
2025-02-04,0.0283273390417009,0.001495260745870091,0.018590696803240377
2025-02-05,-0.0092771263173518,0.0005851542774177271,0.0185678907659553
2025-02-06,0.0142995587779295,-0.002144135038501567,0.01854524302068453
2025-02-07,0.0115797593401734,0.0006084155019282887,0.018522752626533266
2025-02-10,0.0183803292530053,0.0014121356375572523,0.01850041864642428
2025-02-11,-0.0105529829877776,-3.360325928397371e-05,0.018478240147099274
2025-02-12,0.0264411488688218,-0.001001149121686407,0.0184562161991201
2025-02-13,-0.0019924485681007,0.0011459154818517206,0.01843434587686986
2025-02-14,0.0369463325895158,0.00024511931768388714,0.0184126282585539
2025-02-17,-0.0001812356124265,0.0007045704494486462,0.018391062426200658
2025-02-18,0.0159434207492372,-0.0014790963853687793,0.018369647465662386
2025-02-19,-0.0014175297495513,0.0005072328684253959,0.01834838246661577
2025-02-20,-0.0160066213513042,0.0007702616035120762,0.018327266522562388
2025-02-21,0.0399052235692916,-0.0001504337488268083,0.018306298730829066
2025-02-24,-0.0058059039015631,0.00014467207367903167,0.018285478192568094
2025-02-25,-0.0131777478925443,-0.0010581271909906507,0.018264804012757308
2025-02-26,0.0327302907435316,0.0009916172671274239,0.01824427530020005
2025-02-27,-0.0029275614109702,0.0012697352145175128,0.018223891167524976
2025-02-28,-0.032758212363152,-0.0014033670999237745,0.018203650731185766
2025-03-03,0.002831102040566,-0.000774967560341514,0.018183553111460662
2025-03-04,-0.0028035836019563,0.0020392879042131482,0.018163597432451894
2025-03-05,0.028439018418404,0.0002928666890355266,0.018143782822084974
2025-03-06,0.0328682320444733,-0.00139488384559843,0.01812410841210784
2025-03-07,-0.0056795977845193,-0.0005917457006757723,0.01810457333808986
2025-03-10,-0.0184806647780755,0.0013679154037807575,0.01808517673942074
