Strategy,Total_Return,Annualized_Return,Annualized_Vol,Sharpe,Max_Drawdown,Hit_Rate,Trades,Long_Ratio,Short_Ratio
Regression_RF,0.17412066109465285,0.2858022428379522,0.1788108055051279,1.5983499455317094,-0.10435445548797317,0.35333333333333333,150,0.5733333333333334,0.4266666666666667
Regression_RF_Targeted,0.3350713270421404,0.49402424635767445,0.12732541252920113,3.8800128950248705,-0.03341243248582515,0.22666666666666666,68,0.3,0.15333333333333332
Logistic_Prob,0.24541592824538117,0.3785332020465577,0.13852457150444245,2.732606895678514,-0.04090198924744526,0.5066666666666667,103,0.3933333333333333,0.29333333333333333
Buy_and_Hold,0.17486736549801862,0.28684227448633215,0.17880419681495607,1.6042256165774382,-0.07575367699030888,1.0,150,0.5133333333333333,0.4866666666666667
