,lb_stat,lb_pvalue
1,0.3067563304643078,0.579677485091671
2,1.7350186593348826,0.41999631999178044
3,1.7995506243531922,0.6150327298478104
4,3.375714012136257,0.49702607872942905
5,3.9715087790554935,0.5535252616854345
6,7.709567943243277,0.26016255780423503
7,7.968701934701726,0.33536183504843015
8,9.630917312416319,0.2918917779137609
9,10.224377190697531,0.332627983295884
10,10.640878589981991,0.38617238140013227
11,10.809323589462702,0.4593731851164279
12,11.214525086679812,0.5106288865927131
13,11.304106768223669,0.5853580114419623
14,12.025718353241604,0.6042373105496284
15,13.297742927601565,0.579312258192706
16,15.174906222605198,0.5118673421951894
17,15.664218779300292,0.547750990449529
18,15.716223335550467,0.6123446634309639
19,21.848921504968107,0.2918396288484936
20,21.964816429050195,0.3424228490801354
