Model,MAE,RMSE,MAPE,R2,Dir_Accuracy
"ARIMA(2,0,3)",0.010416730743191781,0.015035527163025902,143.54853080584357,0.01800955180615227,52.38095238095239
Naive (Random Walk),0.015352451330577593,0.021630763125636707,1085.2026175627886,-1.0324207828813843,51.19047619047619
Historical Mean,0.010561430663292213,0.015172775357125336,169.2729318939931,0.0,50.79365079365079
